Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Afghanistan,AFG,116769996.643066,232080001.831055,112839996.337891,237720001.220703,295920013.427734,341839996.337891,311609985.351563,247610000.610352,171270004.272461,155229995.727539,164380004.882813,241899993.896484,278799987.792969,250750000,201279998.779297,243979995.727539,249039993.286133,269940002.441406,212190002.441406,249440002.441406,66430000.3051758,54529998.7792969,25200000.7629395,37180000.3051758,18190000.5340576,42549999.2370605,5940000.05722046,86529998.7792969,126980003.356934,253130004.882813,194039993.286133,748539978.027344,299660003.662109,333450012.207031,329350006.103516,270690002.441406,219210006.713867,330470001.220703,238169998.168945,208970001.220703,215800003.051758,682969970.703125,1790479980.46875,1972890014.64844,2681449951.17188,3306389892.57813,3287489990.23438,5218049804.6875,4928439941.40625,6456560058.59375,6424490234.375,6616870117.1875,6505500000,5011049804.6875,4822640136.71875,4479720214.84375,4289649902.34375,3956239990.23438,3792449951.17188,4339979980.46875,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9310000.4196167,17979999.5422363,16280000.6866455,462510009.765625,564469970.703125,403670013.427734,223320007.324219,225970001.220703,294089996.337891,233860000.610352,378950012.207031,702859985.351563,491399993.896484,424380004.882813,453309997.558594,443390014.648438,351829986.572266,354950012.207031,358019989.013672,307890014.648438,338510009.765625,339070007.324219,354040008.544922,346000000,335769989.013672,252880004.882813,260779998.779297,338049987.792969,179639999.389648,174789993.286133,344320007.324219,31409999.8474121,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Algeria,DZA,3199290039.0625,3825239990.23438,3230919921.875,2175080078.125,1676369995.11719,1067160034.17969,882520019.53125,746400024.414063,800840026.855469,856789978.027344,800229980.46875,765820007.324219,591549987.792969,564630004.882813,535919982.910156,828219970.703125,492970001.220703,404660003.662109,507720001.220703,253970001.220703,444609985.351563,440950012.207031,381089996.337891,247479995.727539,369519989.013672,524070007.324219,363079986.572266,384690002.441406,291519989.013672,277250000,467420013.427734,292910003.662109,486269989.013672,458910003.662109,417079986.572266,365739990.234375,382649993.896484,346010009.765625,594659973.144531,199350006.103516,314750000,328410003.662109,288670013.427734,304859985.351563,360989990.234375,385670013.427734,256850006.103516,380239990.234375,292089996.337891,282890014.648438,193809997.558594,178440002.441406,143720001.220703,192419998.168945,147539993.286133,75970001.2207031,155380004.882813,183410003.662109,144529998.779297,182110000.610352,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Angola,AGO,-389999.985694885,282190002.441406,..,209999.993443489,..,12979999.5422363,30239999.7711182,184899993.896484,59999.9986588955,-1110000.01430511,-460000.00834465,-100000.001490116,660000.026226044,1000000,1679999.94754791,17809999.4659424,59919998.1689453,154580001.831055,125360000.610352,107129997.253418,112870002.746582,139070007.324219,149449996.948242,197399993.896484,258709991.455078,245119995.117188,282119995.117188,242740005.493164,268149993.896484,290440002.441406,398459991.455078,404760009.765625,462429992.675781,436350006.103516,641440002.441406,550659973.144531,609760009.765625,515320007.324219,488140014.648438,564390014.648438,461359985.351563,447040008.544922,604789978.027344,634539978.027344,1353619995.11719,471130004.882813,186550003.051758,266600006.103516,358720001.220703,248550003.051758,236240005.493164,190720001.220703,241710006.713867,276359985.351563,226729995.727539,409140014.648438,220190002.441406,231899993.896484,162660003.662109,49229999.5422363,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,50000.0007450581,14789999.961853,8380000.11444092,11590000.1525879,17979999.5422363,11140000.3433228,8899999.61853027,12800000.1907349,20879999.1607666,11600000.3814697,8010000.22888184,5650000.09536743,6690000.05722046,10300000.1907349,10460000.038147,14689999.5803833,7099999.90463257,6789999.96185303,9949999.80926514,6539999.96185303,4400000.09536743,5909999.84741211,2859999.89509583,4929999.82833862,5820000.17166138,12439999.5803833,11630000.1144409,13270000.4577637,11069999.6948242,15899999.6185303,6320000.17166138,1879999.99523163,8210000.03814697,3420000.07629395,4880000.11444092,5340000.15258789,4070000.17166138,18020000.4577637,12359999.6566772,1860000.01430511,1509999.99046326,2430000.0667572,1649999.97615814,-200000.002980232,10699999.8092651,17590000.1525879,28000000,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Argentina,ARG,219809997.558594,360019989.013672,346250000,205960006.713867,-34419998.1689453,-443170013.427734,-118819999.694824,64480003.3569336,-39759998.3215332,51549999.2370605,-33259998.3215332,29149999.6185303,6710000.03814697,61599998.4741211,64980003.3569336,43529998.7792969,50740001.6784668,51799999.2370605,43509998.3215332,65529998.7792969,96160003.6621094,89459999.0844727,76540000.9155273,89669998.1689453,87419998.1689453,104839996.337891,147119995.117188,139259994.506836,231080001.831055,337399993.896484,245860000.610352,382559997.558594,342170013.427734,357809997.558594,226820007.324219,165940002.441406,151779998.779297,130460006.713867,94230003.3569336,95779998.7792969,86069999.6948242,250639999.389648,150449996.948242,151419998.168945,110660003.662109,104379997.253418,124260002.13623,90389999.3896484,116230003.356934,109190002.441406,120459999.084473,90250000,173199996.948242,33770000.4577637,46130001.0681152,-21129999.1607666,3180000.0667572,-1779999.97138977,73110000.6103516,16420000.0762939,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4329999.92370605,35430000.3051758,170020004.272461,283829986.572266,285779998.779297,391549987.792969,228419998.168945,272119995.117188,292839996.337891,309010009.765625,312950012.207031,420119995.117188,321149993.896484,305250000,200429992.675781,242190002.441406,369589996.337891,299000000,397500000,316250000,367559997.558594,265359985.351563,268820007.324219,253000000,377299987.792969,359299987.792969,271679992.675781,141619995.117188,427980010.986328,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36860000.6103516,91169998.1689453,39259998.3215332,34889999.3896484,46549999.2370605,48459999.0844727,40229999.5422363,44340000.1525879,38150001.5258789,26889999.3896484,32970001.2207031,25870000.8392334,37340000.1525879,16700000.7629395,-11239999.7711182,19610000.6103516,-2849999.90463257,16219999.3133545,96319999.6948242,-12840000.1525879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330000.013113022,9810000.4196167,33650001.5258789,215550003.051758,150270004.272461,125110000.610352,251550003.051758,166529998.779297,234500000,187880004.882813,296890014.648438,451399993.896484,365559997.558594,204940002.441406,234589996.337891,220199996.948242,213330001.831055,212520004.272461,212360000.610352,155229995.727539,247369995.117188,241380004.882813,-73010002.1362305,199809997.558594,73309997.5585938,78650001.5258789,126180000.305176,87410003.6621094,125769996.643066,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,"Bahamas, The",BHS,-400000.005960464,..,..,140000.000596046,509999.990463257,569999.992847443,379999.995231628,4400000.09536743,409999.996423721,529999.971389771,519999.980926514,1570000.05245209,7159999.84741211,2269999.98092651,2200000.04768372,2480000.01907349,2150000.09536743,1549999.95231628,2369999.88555908,2269999.98092651,3250000,3329999.92370605,3309999.94277954,2250000,22920000.0762939,1799999.95231628,3569999.9332428,1169999.95708466,2420000.07629395,7070000.17166138,4739999.77111816,4030000.20980835,3890000.10490417,1570000.05245209,1299999.95231628,5730000.01907349,2019999.98092651,4940000.05722046,32209999.0844727,16840000.1525879,7730000.01907349,10289999.961853,5710000.03814697,5280000.20980835,6119999.88555908,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Bahrain,BHR,819999.992847443,9020000.45776367,12479999.5422363,5849999.90463257,5130000.11444092,7340000.15258789,66260002.1362305,389999.985694885,1840000.0333786,1100000.02384186,6179999.82833862,27389999.3896484,15260000.2288818,65839996.3378906,156660003.662109,94720001.2207031,574789978.027344,156380004.882813,238720001.220703,339570007.324219,477549987.792969,469440002.441406,379519989.013672,622130004.882813,525599975.585938,183169998.168945,202350006.103516,15329999.9237061,-4550000.19073486,-4099999.90463257,204240005.493164,135449996.948242,108650001.525879,155440002.441406,126730003.356934,118559997.558594,166449996.948242,202279998.779297,274420013.427734,83419998.1689453,84300003.0517578,104389999.389648,87709999.0844727,166070007.324219,67510002.1362305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,121809997.558594,1162650024.41406,1915430053.71094,2190979980.46875,3895639892.57813,1730250000,2535510009.76563,2735959960.9375,2822310058.59375,2836090087.89063,2514780029.29688,3176530029.29688,2385260009.76563,2741820068.35938,2413659912.10938,2560000000,2774070068.35938,2193550048.82813,2362570068.35938,2616520019.53125,2334850097.65625,2047260009.76563,1613000000,1843089965.82031,1222339965.82031,1197750000,1168859985.35156,1337270019.53125,1367949951.17188,1343839965.82031,1348880004.88281,1135160034.17969,1594979980.46875,1619640014.64844,1393719970.70313,1107400024.41406,1279609985.35156,1682839965.82031,1083479980.46875,1318810058.59375,1334000000,2001969970.70313,2477320068.35938,2287879882.8125,2721250000,2645080078.125,3903169921.875,3044679931.64063,4527919921.875,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Barbados,BRB,..,..,..,..,..,..,12060000.4196167,4059999.94277954,6190000.05722046,9289999.96185303,15529999.7329712,28209999.0844727,26170000.0762939,22079999.9237061,15130000.1144409,15869999.8855591,19389999.3896484,15359999.6566772,26850000.3814697,17260000.2288818,16200000.7629395,24790000.9155273,20920000.0762939,36689998.626709,13210000.038147,14550000.1907349,9920000.07629395,8979999.54223633,3279999.97138977,1679999.94754791,3200000.04768372,3240000.00953674,1529999.97138977,7449999.80926514,3950000.04768372,370000.004768372,7210000.03814697,8180000.30517578,24409999.8474121,-1009999.99046326,2990000.00953674,-310000.002384186,6730000.01907349,27110000.6103516,34650001.5258789,-980000.019073486,-649999.976158142,18200000.7629395,8710000.03814697,11319999.6948242,14949999.8092651,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,271980010.986328,362309997.558594,267119995.117188,161660003.662109,265950012.207031,103019996.643066,81139999.3896484,58279998.7792969,59650001.5258789,55700000.7629395,63540000.9155273,60209999.0844727,60840000.1525879,59619998.9318848,66449996.9482422,83839996.3378906,86620002.746582,103419998.168945,98279998.7792969,137610000.610352,110050003.051758,100489997.86377,101709999.084473,112199996.948242,112949996.948242,-20809999.4659424,-259489990.234375,119099998.474121,221089996.337891,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
